citation_number	used_in_text	reference_entry_present	verified	duplicate	status
1	TRUE	TRUE	TRUE	FALSE	PASS
2	TRUE	TRUE	TRUE	FALSE	PASS
3	FALSE	TRUE	TRUE	FALSE	PASS_UNUSED_RECORD
4	TRUE	TRUE	TRUE	FALSE	PASS
5	TRUE	TRUE	TRUE	FALSE	PASS
6	FALSE	TRUE	TRUE	FALSE	PASS_UNUSED_RECORD
7	FALSE	TRUE	TRUE	FALSE	PASS_UNUSED_RECORD
8	TRUE	TRUE	TRUE	FALSE	PASS
9	TRUE	TRUE	TRUE	FALSE	PASS
10	FALSE	TRUE	TRUE	FALSE	PASS_UNUSED_RECORD
11	TRUE	TRUE	TRUE	FALSE	PASS
12	TRUE	TRUE	TRUE	FALSE	PASS
13	FALSE	TRUE	TRUE	FALSE	PASS_UNUSED_RECORD
14	TRUE	TRUE	TRUE	FALSE	PASS
15	FALSE	TRUE	TRUE	FALSE	PASS_UNUSED_RECORD
16	FALSE	TRUE	TRUE	FALSE	PASS_UNUSED_RECORD
17	TRUE	TRUE	TRUE	FALSE	PASS
18	TRUE	TRUE	TRUE	FALSE	PASS
19	TRUE	TRUE	TRUE	FALSE	PASS
20	TRUE	TRUE	TRUE	FALSE	PASS
21	TRUE	TRUE	TRUE	FALSE	PASS
22	FALSE	TRUE	TRUE	FALSE	PASS_UNUSED_RECORD
23	FALSE	TRUE	TRUE	FALSE	PASS_UNUSED_RECORD
24	FALSE	TRUE	TRUE	FALSE	PASS_UNUSED_RECORD
25	FALSE	TRUE	TRUE	FALSE	PASS_UNUSED_RECORD
26	FALSE	TRUE	TRUE	FALSE	PASS_UNUSED_RECORD
27	FALSE	TRUE	TRUE	FALSE	PASS_UNUSED_RECORD
28	FALSE	TRUE	TRUE	FALSE	PASS_UNUSED_RECORD
29	FALSE	TRUE	TRUE	FALSE	PASS_UNUSED_RECORD
30	TRUE	TRUE	TRUE	FALSE	PASS
31	FALSE	TRUE	TRUE	FALSE	PASS_UNUSED_RECORD
32	TRUE	TRUE	TRUE	FALSE	PASS
33	TRUE	TRUE	TRUE	FALSE	PASS
34	FALSE	TRUE	TRUE	FALSE	PASS_UNUSED_RECORD
35	FALSE	TRUE	TRUE	FALSE	PASS_UNUSED_RECORD
36	FALSE	TRUE	TRUE	FALSE	PASS_UNUSED_RECORD
37	FALSE	TRUE	TRUE	FALSE	PASS_UNUSED_RECORD
38	FALSE	TRUE	TRUE	FALSE	PASS_UNUSED_RECORD
39	FALSE	TRUE	TRUE	FALSE	PASS_UNUSED_RECORD
40	TRUE	TRUE	TRUE	FALSE	PASS
41	TRUE	TRUE	TRUE	FALSE	PASS
42	FALSE	TRUE	TRUE	FALSE	PASS_UNUSED_RECORD
43	FALSE	TRUE	TRUE	FALSE	PASS_UNUSED_RECORD
44	FALSE	TRUE	TRUE	FALSE	PASS_UNUSED_RECORD
45	FALSE	TRUE	TRUE	FALSE	PASS_UNUSED_RECORD
